ID:630, Name:Alanah, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:20
ID:282, Name:Rosha, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:17
ID:380, Name:Rolland, Major:CHE, Enrollment:No, Year:Freshman, Age:16
ID:373, Name:Rosendo, Major:ABE, Enrollment:Yes, Year:Junior, Age:23
ID:384, Name:Rorey, Major:CHE, Enrollment:No, Year:Junior, Age:19
ID:546, Name:Ruger, Major:AA, Enrollment:Yes, Year:Sophomore, Age:23
ID:278, Name:Rowdy, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:229, Name:Royden, Major:CS, Enrollment:Yes, Year:Sophomore, Age:14
ID:291, Name:Saffron, Major:CHE, Enrollment:Yes, Year:Junior, Age:19
ID:36, Name:San, Major:CS, Enrollment:No, Year:Junior, Age:18
ID:140, Name:Said, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:627, Name:Samyrah, Major:IE, Enrollment:No, Year:Junior, Age:19
ID:258, Name:Yadira, Major:ECE, Enrollment:No, Year:Senior, Age:21
ID:171, Name:Seleny, Major:CS, Enrollment:No, Year:Junior, Age:14
ID:177, Name:Seanmichael, Major:IE, Enrollment:No, Year:Senior, Age:15
ID:263, Name:Tanyia, Major:ME, Enrollment:No, Year:Junior, Age:12
ID:206, Name:Shyloh, Major:CS, Enrollment:Yes, Year:Sophomore, Age:27
ID:545, Name:Shariah, Major:ECE, Enrollment:Yes, Year:Freshman, Age:22
ID:43, Name:Serene, Major:ABE, Enrollment:No, Year:Freshman, Age:29
ID:307, Name:Seydou, Major:BME, Enrollment:No, Year:Freshman, Age:29
ID:514, Name:Severine, Major:CS, Enrollment:No, Year:Senior, Age:27
ID:77, Name:Shivanya, Major:CHE, Enrollment:No, Year:Sophomore, Age:21
ID:27, Name:Shealynn, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:25, Name:Syhir, Major:BME, Enrollment:No, Year:Junior, Age:29
ID:112, Name:Soliyana, Major:ECE, Enrollment:Yes, Year:Junior, Age:27
ID:486, Name:Srihith, Major:IE, Enrollment:No, Year:Sophomore, Age:10
ID:342, Name:Solyana, Major:AA, Enrollment:No, Year:Junior, Age:21
ID:562, Name:Sophia, Major:IE, Enrollment:Yes, Year:Junior, Age:18
ID:265, Name:Sruthi, Major:CS, Enrollment:Yes, Year:Senior, Age:24
ID:22, Name:Taleya, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
ID:241, Name:Talar, Major:ME, Enrollment:No, Year:Junior, Age:28
ID:203, Name:Sylas, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:25
ID:544, Name:Sylar, Major:CHE, Enrollment:No, Year:Freshman, Age:17
ID:210, Name:Tamsin, Major:ABE, Enrollment:Yes, Year:Junior, Age:26
ID:304, Name:Tanika, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:15
ID:207, Name:Willo, Major:ECE, Enrollment:Yes, Year:Freshman, Age:19
ID:589, Name:Tiare, Major:ECE, Enrollment:Yes, Year:Freshman, Age:18
ID:298, Name:Thaxton, Major:ME, Enrollment:Yes, Year:Senior, Age:22
ID:20, Name:Taylor, Major:ECE, Enrollment:Yes, Year:Freshman, Age:21
ID:340, Name:Tavia, Major:CHE, Enrollment:No, Year:Junior, Age:20
ID:430, Name:Tarryn, Major:ME, Enrollment:No, Year:Freshman, Age:22
ID:381, Name:Tasmia, Major:BME, Enrollment:No, Year:Junior, Age:27
ID:547, Name:Terrel, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:46, Name:Tayte, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:345, Name:Theophilus, Major:BME, Enrollment:No, Year:Sophomore, Age:17
ID:216, Name:Tulsi, Major:CS, Enrollment:No, Year:Freshman, Age:29
ID:408, Name:Trust, Major:ABE, Enrollment:Yes, Year:Junior, Age:19
ID:107, Name:Umer, Major:CS, Enrollment:Yes, Year:Freshman, Age:19
ID:495, Name:Tyriq, Major:ME, Enrollment:No, Year:Senior, Age:25
ID:208, Name:Wanda, Major:CHE, Enrollment:Yes, Year:Freshman, Age:13
ID:395, Name:Veruca, Major:ME, Enrollment:No, Year:Sophomore, Age:14
ID:501, Name:Yabdiel, Major:BME, Enrollment:No, Year:Senior, Age:16
ID:133, Name:Wylie, Major:ECE, Enrollment:No, Year:Senior, Age:27
ID:572, Name:Xane, Major:BME, Enrollment:No, Year:Senior, Age:11
ID:215, Name:Xaria, Major:ABE, Enrollment:No, Year:Junior, Age:17
ID:454, Name:Zeven, Major:AA, Enrollment:No, Year:Freshman, Age:25
ID:498, Name:Zebediah, Major:ME, Enrollment:No, Year:Senior, Age:16
ID:488, Name:Yaritzy, Major:AA, Enrollment:Yes, Year:Freshman, Age:24
ID:124, Name:Yailen, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:168, Name:Yanessa, Major:ME, Enrollment:Yes, Year:Senior, Age:25
ID:156, Name:Yanely, Major:IE, Enrollment:Yes, Year:Junior, Age:26
ID:601, Name:Zaylee, Major:BME, Enrollment:No, Year:Sophomore, Age:26
ID:30, Name:Zaveah, Major:CHE, Enrollment:Yes, Year:Freshman, Age:17
ID:117, Name:Zalayah, Major:AA, Enrollment:No, Year:Junior, Age:23
ID:311, Name:York, Major:CHE, Enrollment:Yes, Year:Freshman, Age:19
ID:286, Name:Yassine, Major:AA, Enrollment:No, Year:Freshman, Age:12
ID:312, Name:Yomna, Major:BME, Enrollment:Yes, Year:Junior, Age:29
ID:145, Name:Yeimi, Major:ECE, Enrollment:Yes, Year:Junior, Age:10
ID:351, Name:Yulisa, Major:CS, Enrollment:Yes, Year:Senior, Age:25
ID:316, Name:Zaara, Major:ME, Enrollment:No, Year:Senior, Age:25
ID:438, Name:Zenaya, Major:ME, Enrollment:No, Year:Junior, Age:19
ID:489, Name:Ziaire, Major:AA, Enrollment:No, Year:Sophomore, Age:24
ID:565, Name:Zilah, Major:ME, Enrollment:No, Year:Freshman, Age:29
ID:609, Name:Zoelle, Major:CHE, Enrollment:Yes, Year:Freshman, Age:26
ID:626, Name:Zyan, Major:IE, Enrollment:No, Year:Junior, Age:29
ID:165, Name:Zyler, Major:IE, Enrollment:No, Year:Sophomore, Age:13
ID:66, Name:Zylus, Major:CHE, Enrollment:No, Year:Freshman, Age:13
Write to db
