ID:600, Name:Harsha, Major:CS, Enrollment:Yes, Year:Freshman, Age:10
ID:248, Name:Kinan, Major:BME, Enrollment:Yes, Year:Sophomore, Age:28
ID:113, Name:Stevon, Major:ABE, Enrollment:Yes, Year:Freshman, Age:28
ID:524, Name:Jaidence, Major:ABE, Enrollment:No, Year:Senior, Age:28
ID:387, Name:Jaber, Major:CS, Enrollment:No, Year:Sophomore, Age:28
ID:127, Name:Mela, Major:CHE, Enrollment:No, Year:Senior, Age:28
ID:372, Name:Jonathan, Major:ECE, Enrollment:Yes, Year:Senior, Age:28
ID:359, Name:Lira, Major:BME, Enrollment:Yes, Year:Freshman, Age:29
ID:299, Name:Amaziah, Major:ECE, Enrollment:No, Year:Sophomore, Age:29
ID:466, Name:Penina, Major:BME, Enrollment:Yes, Year:Freshman, Age:29
ID:268, Name:Hiroki, Major:ECE, Enrollment:No, Year:Sophomore, Age:28
ID:460, Name:Moon, Major:CS, Enrollment:No, Year:Sophomore, Age:28
ID:211, Name:Jorgia, Major:BME, Enrollment:Yes, Year:Senior, Age:28
ID:492, Name:Laasya, Major:CS, Enrollment:No, Year:Junior, Age:29
ID:453, Name:Lazlo, Major:BME, Enrollment:No, Year:Freshman, Age:29
ID:434, Name:Vicenzo, Major:AA, Enrollment:Yes, Year:Junior, Age:29
ID:462, Name:Siham, Major:IE, Enrollment:Yes, Year:Sophomore, Age:29
ID:586, Name:Meline, Major:ABE, Enrollment:Yes, Year:Junior, Age:29
ID:521, Name:Parth, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:29
ID:104, Name:Freja, Major:ECE, Enrollment:Yes, Year:Junior, Age:29
ID:417, Name:Jase, Major:ABE, Enrollment:No, Year:Senior, Age:29
ID:580, Name:Nyko, Major:ME, Enrollment:Yes, Year:Freshman, Age:29
ID:254, Name:Koriana, Major:IE, Enrollment:No, Year:Senior, Age:29
ID:168, Name:Paxtyn, Major:ECE, Enrollment:Yes, Year:Senior, Age:29
Write to db
