ID:720, Name:Reiley, Major:AA, Enrollment:Yes, Year:Sophomore, Age:25
ID:605, Name:Sequoia, Major:BME, Enrollment:Yes, Year:Senior, Age:26
ID:399, Name:Alesa, Major:ECE, Enrollment:Yes, Year:Freshman, Age:26
ID:198, Name:Jahniya, Major:CS, Enrollment:Yes, Year:Senior, Age:26
ID:254, Name:Kannon, Major:BME, Enrollment:No, Year:Sophomore, Age:26
ID:277, Name:Roslynn, Major:AA, Enrollment:No, Year:Senior, Age:26
ID:632, Name:Haggai, Major:ECE, Enrollment:No, Year:Freshman, Age:26
ID:239, Name:Oliva, Major:AA, Enrollment:No, Year:Junior, Age:26
ID:374, Name:Mehmet, Major:CS, Enrollment:Yes, Year:Junior, Age:26
ID:139, Name:Roshawn, Major:ABE, Enrollment:No, Year:Freshman, Age:26
ID:693, Name:Denari, Major:BME, Enrollment:No, Year:Sophomore, Age:26
ID:43, Name:Yeimy, Major:CHE, Enrollment:Yes, Year:Freshman, Age:26
ID:494, Name:Errick, Major:CS, Enrollment:Yes, Year:Sophomore, Age:26
ID:697, Name:Summit, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:26
ID:566, Name:Kennen, Major:ECE, Enrollment:No, Year:Freshman, Age:26
ID:32, Name:Briyith, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:26
ID:178, Name:Reham, Major:BME, Enrollment:Yes, Year:Sophomore, Age:27
ID:248, Name:Blaike, Major:ECE, Enrollment:No, Year:Junior, Age:27
ID:274, Name:Jireh, Major:ME, Enrollment:No, Year:Senior, Age:27
ID:678, Name:Jianni, Major:CHE, Enrollment:Yes, Year:Junior, Age:26
ID:131, Name:Kymani, Major:IE, Enrollment:No, Year:Senior, Age:26
ID:460, Name:Javon, Major:BME, Enrollment:No, Year:Freshman, Age:26
ID:38, Name:Ellyanna, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:27
ID:19, Name:Dameer, Major:ECE, Enrollment:No, Year:Senior, Age:27
ID:290, Name:Erasmo, Major:CS, Enrollment:Yes, Year:Sophomore, Age:27
ID:13, Name:Kaile, Major:AA, Enrollment:Yes, Year:Junior, Age:27
ID:246, Name:Evalina, Major:CHE, Enrollment:Yes, Year:Freshman, Age:27
ID:126, Name:Khanh, Major:AA, Enrollment:Yes, Year:Freshman, Age:27
ID:108, Name:Harlie, Major:ECE, Enrollment:No, Year:Senior, Age:27
ID:186, Name:Zachary, Major:ABE, Enrollment:Yes, Year:Junior, Age:27
ID:662, Name:Braya, Major:ECE, Enrollment:No, Year:Freshman, Age:27
ID:703, Name:Lamis, Major:CS, Enrollment:No, Year:Sophomore, Age:27
ID:80, Name:Harbour, Major:IE, Enrollment:Yes, Year:Senior, Age:27
ID:631, Name:Breighton, Major:CHE, Enrollment:No, Year:Junior, Age:29
ID:492, Name:Marilou, Major:BME, Enrollment:Yes, Year:Senior, Age:27
ID:530, Name:Shadia, Major:CHE, Enrollment:Yes, Year:Freshman, Age:27
ID:519, Name:Jocelyne, Major:ABE, Enrollment:Yes, Year:Junior, Age:27
ID:522, Name:Zakaiya, Major:CHE, Enrollment:Yes, Year:Senior, Age:27
ID:391, Name:Jarren, Major:AA, Enrollment:No, Year:Senior, Age:27
ID:438, Name:Janitza, Major:ABE, Enrollment:No, Year:Junior, Age:27
ID:503, Name:Brayden, Major:IE, Enrollment:Yes, Year:Freshman, Age:27
ID:445, Name:Ariana, Major:BME, Enrollment:Yes, Year:Junior, Age:27
ID:357, Name:Embree, Major:CHE, Enrollment:No, Year:Senior, Age:28
ID:155, Name:Jeyren, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:28
ID:286, Name:Rital, Major:CS, Enrollment:No, Year:Sophomore, Age:28
ID:590, Name:Sharlotte, Major:IE, Enrollment:No, Year:Sophomore, Age:28
ID:624, Name:Adrienna, Major:IE, Enrollment:Yes, Year:Sophomore, Age:27
ID:627, Name:Price, Major:IE, Enrollment:No, Year:Junior, Age:27
ID:448, Name:Roseli, Major:IE, Enrollment:Yes, Year:Freshman, Age:28
ID:465, Name:Arya, Major:IE, Enrollment:No, Year:Junior, Age:28
ID:144, Name:Amire, Major:AA, Enrollment:No, Year:Senior, Age:28
ID:673, Name:Laziyah, Major:AA, Enrollment:Yes, Year:Senior, Age:28
ID:702, Name:Jomar, Major:IE, Enrollment:Yes, Year:Freshman, Age:28
ID:96, Name:Yarel, Major:ECE, Enrollment:Yes, Year:Freshman, Age:28
ID:478, Name:Maila, Major:BME, Enrollment:Yes, Year:Junior, Age:28
ID:694, Name:Padraig, Major:ECE, Enrollment:No, Year:Junior, Age:28
ID:102, Name:Cicilia, Major:CHE, Enrollment:No, Year:Junior, Age:28
ID:73, Name:Adorian, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:28
ID:105, Name:Macklin, Major:BME, Enrollment:Yes, Year:Senior, Age:28
ID:446, Name:Windy, Major:ABE, Enrollment:No, Year:Sophomore, Age:28
ID:529, Name:Breelynn, Major:BME, Enrollment:Yes, Year:Junior, Age:28
ID:247, Name:Ayedan, Major:BME, Enrollment:Yes, Year:Freshman, Age:28
ID:349, Name:Emmelyn, Major:BME, Enrollment:No, Year:Freshman, Age:28
ID:381, Name:Nizhoni, Major:ECE, Enrollment:Yes, Year:Junior, Age:28
ID:611, Name:Nalla, Major:ECE, Enrollment:No, Year:Freshman, Age:28
ID:240, Name:Dalaina, Major:CHE, Enrollment:No, Year:Senior, Age:28
ID:650, Name:Aimen, Major:BME, Enrollment:No, Year:Freshman, Age:28
ID:642, Name:Agamjot, Major:AA, Enrollment:Yes, Year:Freshman, Age:28
ID:711, Name:Zahi, Major:BME, Enrollment:Yes, Year:Freshman, Age:28
ID:513, Name:Iliyah, Major:CS, Enrollment:No, Year:Senior, Age:29
ID:499, Name:Spence, Major:ME, Enrollment:No, Year:Sophomore, Age:29
ID:313, Name:Saphyra, Major:CS, Enrollment:Yes, Year:Senior, Age:28
ID:45, Name:Dreyah, Major:BME, Enrollment:Yes, Year:Freshman, Age:29
ID:709, Name:Pyper, Major:AA, Enrollment:No, Year:Freshman, Age:29
ID:483, Name:Aariella, Major:ECE, Enrollment:Yes, Year:Freshman, Age:29
ID:596, Name:Giovana, Major:IE, Enrollment:No, Year:Junior, Age:29
ID:231, Name:Ashar, Major:IE, Enrollment:Yes, Year:Senior, Age:29
ID:416, Name:Mikhail, Major:CHE, Enrollment:No, Year:Junior, Age:29
ID:423, Name:Yohaan, Major:ME, Enrollment:No, Year:Senior, Age:29
ID:358, Name:Erron, Major:CS, Enrollment:Yes, Year:Freshman, Age:29
ID:309, Name:Yemariam, Major:ME, Enrollment:No, Year:Junior, Age:29
ID:265, Name:Kourtlynn, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:29
ID:436, Name:Isadore, Major:AA, Enrollment:Yes, Year:Junior, Age:29
ID:125, Name:Emmalyne, Major:ABE, Enrollment:Yes, Year:Freshman, Age:29
ID:109, Name:Maeley, Major:BME, Enrollment:Yes, Year:Senior, Age:29
ID:580, Name:Hubert, Major:IE, Enrollment:No, Year:Junior, Age:29
ID:470, Name:Quindarius, Major:CS, Enrollment:No, Year:Sophomore, Age:29
ID:439, Name:Rapha, Major:CHE, Enrollment:No, Year:Sophomore, Age:29
Write to db
